Director,Movie,Date,Rating
"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",Εκδικητές: Ο πόλεμος της αιωνιότητας,(2018),8.4
"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",Spider-Man: Μέσα στο Αραχνο-Σύμπαν,(2018),8.4
"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",Η λάμψη,(1980),8.4
"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",Σταυροί στο μέτωπο,(1957),8.4
"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",Γουόλ-Υ,(2008),8.4
"Billy Wilder (dir.), William Holden, Gloria Swanson",Η λεωφόρος της δύσεως,(1950),8.4
"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",S.O.S. Πεντάγωνο καλεί Μόσχα,(1964),8.4
"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",Πριγκίπισσα Μονονόκε,(1997),8.4
"Chan-wook Park (dir.), Min-sik Choi, Ji-tae Yu",Oldboy,(2003),8.3
"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",Μάρτυς κατηγορίας,(1957),8.3
"Christopher Nolan (dir.), Christian Bale, Tom Hardy",Ο σκοτεινός ιππότης: Η επιστροφή,(2012),8.3
"Joon-ho Bong (dir.), Kang-ho Song, Yeo-jeong Jo",Παράσιτα,(2019),8.3
"Sergio Leone (dir.), Robert De Niro, James Woods",Κάποτε στην Αμερική,(1984),8.3
"James Cameron (dir.), Sigourney Weaver, Michael Biehn",Aliens: Η επιστροφή,(1986),8.3
"Sam Mendes (dir.), Kevin Spacey, Annette Bening",American Beauty,(1999),8.3
"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",Coco,(2017),8.3
"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",Kimi no na wa.,(2016),8.3
"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",Braveheart,(1995),8.3
"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",Το υποβρύχιο,(1981),8.3
"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",Οι τρεις ηλίθιοι,(2009),8.3
"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",Taare Zameen Par,(2007),8.3
"Richard Marquand (dir.), Mark Hamill, Harrison Ford",Η επιστροφή των Τζεντάι,(1983),8.3
"John Lasseter (dir.), Tom Hanks, Tim Allen",Η ιστορία των παιχνιδιών,(1995),8.3
"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",Reservoir Dogs,(1992),8.3
"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",Αμαντέους,(1984),8.3
"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",Dangal,(2016),8.3
"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",Ο δράκος του Ντίσελντορφ,(1931),8.3
"Gus Van Sant (dir.), Robin Williams, Matt Damon",Ο ξεχωριστός Γουίλ Χάντινγκ,(1997),8.3
"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",Άδωξοι μπάσταρδη,(2009),8.3
"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",Ρέκβιεμ για ένα όνειρο,(2000),8.3
"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",2001: Η οδύσσεια του διαστήματος,(1968),8.3
"Alfred Hitchcock (dir.), James Stewart, Kim Novak",Δεσμώτης του ιλίγγου,(1958),8.3
"Michel Gondry (dir.), Jim Carrey, Kate Winslet",Η αιώνια λιακάδα ενός καθαρού μυαλού,(2004),8.3
"Orson Welles (dir.), Orson Welles, Joseph Cotten",Ο πολίτης Κέιν,(1941),8.3
"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",Metal Jacket,(1987),8.3
"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",Το κυνήγι,(2012),8.3
"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",Στη σκιά των τεσσάρων γιγάντων,(1959),8.3
"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",Το κουρδιστό πορτοκάλι,(1971),8.3
"Guy Ritchie (dir.), Jason Statham, Brad Pitt",Η αρπαχτή,(2000),8.3
